Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
elclasificado.com/phoenix/abogados-accidentes,8,7,00:04:00,6,83.33%,75.00%,$0.00
elclasificado.com/phoenix/accesorios-autos/auto-part-now-8758916,8,7,00:02:18,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/autos-ford/1997-expedition-4x4-new-trans-8836269,8,8,00:00:30,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/autos-toyota-autodealer/2005-toyota-tacoma-8388853,8,8,00:00:56,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/carpinteria-hogar/kitchen-cabinets-precio-compet-8822477,8,8,00:01:06,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/clases-computacion/clases-de-computacion-7696478,8,7,00:01:05,0,0.00%,37.50%,$0.00
elclasificado.com/phoenix/compra-venta-articulos-deportivos,8,7,00:00:09,1,100.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/cobijas-de-doble-vista-mayoreo-8778057,8,8,00:00:44,2,50.00%,37.50%,$0.00
elclasificado.com/phoenix/compra-venta-tiendas-ropa/jeans-y-fajas-colombianas-8436179,8,6,00:00:33,3,33.33%,25.00%,$0.00
elclasificado.com/phoenix/decoraciones-fiestas/decoraciones-7480114,8,7,00:00:50,0,0.00%,37.50%,$0.00
elclasificado.com/phoenix/empleo-carpinteros-construccion/instalador-de-granito-8469348,8,8,00:01:11,2,50.00%,25.00%,$0.00
elclasificado.com/phoenix/empleo-vendedores/interesados-superarse-300-7202579,8,5,00:00:30,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-vendedores/te-gusta-el-dinero-8714892,8,7,00:00:48,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/jumpers-fiestas/gran-venta-de-carpas-8375568,8,7,00:04:58,1,100.00%,25.00%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizaciones-8779186,8,3,00:02:27,1,100.00%,12.50%,$0.00
elclasificado.com/phoenix/motos-harley-davidson,8,5,00:00:09,3,66.67%,37.50%,$0.00
elclasificado.com/phoenix/motos-honda/2002-honda-goldwing-gl-1800a-7427396,8,7,00:00:46,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/musica-banda/grupo-supernova-7403460,8,7,00:00:45,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/panel-solar-phoenix-az-8839541,8,8,00:00:25,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/trabajo-para-armar-y-desarmar-8419718,8,8,00:00:31,1,100.00%,12.50%,$0.00
elclasificado.com/phoenix/perros-mascotas/cachorros-yorkie-adorable-para-8751151,8,5,00:00:59,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/ever-clever-yorkie-puppies-8377742,8,6,00:00:32,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/perros-mascotas/free-teacup-yorkie-puppies-7697137,8,7,00:00:18,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/prestamos-negocios,8,4,00:00:27,2,0.00%,25.00%,$0.00
elclasificado.com/phoenix/profesionales,8,5,00:00:58,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/cityscape-residences-8491887,8,8,00:00:52,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/salones-fiestas/salon-de-fiestas-en-phoenix-8525450,8,8,00:00:53,2,50.00%,37.50%,$0.00
elclasificado.com/phoenix/salud,8,6,00:00:12,3,66.67%,37.50%,$0.00
elclasificado.com/phoenix/servicio-internet,8,5,00:00:20,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/servicios-termitas-casas,8,5,00:03:32,5,40.00%,50.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/ingreso-de-600-a-1000-8794197,8,8,00:01:19,1,0.00%,12.50%,$0.00
elclasificado.com/phoenix/venta-celulares/venta-de-celulares-iphone-6-8745376,8,6,00:38:54,4,50.00%,50.00%,$0.00
elclasificado.com/phoenix/abogados-casos-criminales,7,6,00:00:29,3,100.00%,42.86%,$0.00
elclasificado.com/phoenix/autos-ford-autodealer/2004-ford-expedition-8539302,7,7,00:00:16,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/leggins-free-size-por-mayoreo-8706950,7,7,00:04:02,1,100.00%,42.86%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/ropa-por-mayoreo-envio-gratis-7506126,7,6,00:00:38,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-barbero-cosmetologa/peinadoras-y-maquillistas-8579063,7,6,00:00:17,2,100.00%,42.86%,$0.00
elclasificado.com/phoenix/empleo-carpinteros-construccion/remodelacion-de-todo-tipo-7502329,7,6,00:03:45,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-choferes-troqueros/chofer-cdl-a-8545344,7,7,00:01:32,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-internet/earn-2000-month-via-part-time-8796796,7,7,00:06:35,1,0.00%,14.29%,$0.00
elclasificado.com/phoenix/empleo-internet/trabajo-100-por-internet-8792090,7,6,00:07:08,1,100.00%,28.57%,$0.00
elclasificado.com/phoenix/empleo-vendedores/compania-solar-8700947,7,6,00:01:00,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-vendedores/representantes-en-ventas-7094222,7,7,00:00:27,0,0.00%,14.29%,$0.00
elclasificado.com/phoenix/empleo-vendedores/ventas-abarrote-mexicano-8711205,7,5,00:00:59,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/gmc-autos-autodealer/2009-gmc-yukon-8464359,7,7,00:00:23,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/infinity-autos-autodealer?pg=2,7,5,00:00:14,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/jeep-autos-autodealer/2012-jeep-grand-cherokee-8539291,7,6,00:00:37,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/jumpers-fiestas/jumpers-que-te-encantaran-8358698,7,6,00:00:39,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/lexus-autos/white-2002-lexus-es300-for-sel-7625112,7,7,00:00:21,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/motos-honda/1996-honda-gold-wing-1500-se-7426142,7,6,00:00:34,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/600-2-veces-a-la-semana-7403018,7,7,00:00:49,0,0.00%,14.29%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/licencias-para-su-negocio-8565482,7,6,00:01:45,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/pajaros-mascotas/loros-cacatua-paraguas-para-la-8532684,7,7,00:01:08,2,50.00%,28.57%,$0.00
elclasificado.com/phoenix/payasos-fiestas?exp=true,7,5,00:02:58,4,50.00%,71.43%,$0.00
elclasificado.com/phoenix/perros-mascotas/bonita-yorkie-cachorros-8354573,7,5,00:00:16,0,0.00%,14.29%,$0.00
elclasificado.com/phoenix/perros-mascotas/cachorros-lindo-husky-8780189,7,6,00:00:28,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/puppy-for-adoption-7484291,7,5,00:02:07,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/siberian-husky-de-ojos-azules-8608425,7,7,00:01:26,1,0.00%,14.29%,$0.00
elclasificado.com/phoenix/perros-mascotas/teacup-pomeranian-pups-8842944,7,7,00:00:18,1,100.00%,57.14%,$0.00
elclasificado.com/phoenix/perros-mascotas/trigo-integral-huskys-siberian-8634794,7,7,00:01:04,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/renta-autos-vacaciones,7,3,00:00:41,2,50.00%,28.57%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/serafina-at-south-mountain-8808549,7,6,00:02:18,0,0.00%,28.57%,$0.00
elclasificado.com/phoenix/salones-fiestas/quinceanera-espectacular-8528604,7,6,00:01:05,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/search-results?categoryId=8,7,5,00:00:45,0,0.00%,71.43%,$0.00
elclasificado.com/phoenix/servicios-guarderias,7,6,00:03:12,5,20.00%,28.57%,$0.00
elclasificado.com/phoenix/servicios-limpieza-hogar/eli-cleaning-service-8833439,7,4,00:00:58,1,100.00%,28.57%,$0.00
elclasificado.com/phoenix/trabajo-independientes/gana-100-dolares-diarios-8510017,7,7,00:01:21,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/personas-para-trabajar-8760397,7,7,00:00:37,0,0.00%,14.29%,$0.00
elclasificado.com/phoenix/venta-celulares/apple-iphone-5s-16gb-8508812,7,7,00:01:16,0,0.00%,14.29%,$0.00
elclasificado.com/phoenix/viajes-vacaciones,7,3,00:00:07,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-chrysler-jeep-autodealer,6,4,00:05:44,3,66.67%,33.33%,$0.00
elclasificado.com/phoenix/autos-chrysler-jeep/importaciones-a-mexico-7628807,6,5,00:00:50,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/autos-pontiac/2007-pontiac-g6-8501756,6,6,00:00:34,1,100.00%,16.67%,$0.00
elclasificado.com/phoenix/belleza-bajar-peso/tonificar-y-reafirmar-8731767,6,6,00:00:38,0,0.00%,33.33%,$0.00
elclasificado.com/phoenix/belleza-cirugia-plastica,6,5,00:01:19,4,75.00%,66.67%,$0.00
elclasificado.com/phoenix/cines,6,6,00:00:00,6,100.00%,100.00%,$0.00
elclasificado.com/phoenix/compra-venta-casas-empeno,6,4,00:01:00,4,50.00%,50.00%,$0.00
elclasificado.com/phoenix/compra-venta-muebles-ninos,6,3,00:00:18,3,66.67%,50.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/maniki-ropa-de-moda-8585077,6,6,00:00:17,0,0.00%,50.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/maniki-ropa-linda-mayoreo-8818588,6,6,00:02:49,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/mayoreo-ropa-fina-maniki-8696213,6,6,00:00:36,0,0.00%,50.00%,$0.00
elclasificado.com/phoenix/consejos-espirituales,6,6,00:01:04,6,83.33%,83.33%,$0.00
elclasificado.com/phoenix/construccion-hogar/handyman-ramirez-8558092,6,4,00:01:10,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos/cuido-ninos-a-domicilio-7561755,6,4,00:00:13,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos/personas-mayores-y-ninos-8592620,6,6,00:01:10,1,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos/sra-ampliamente-responsable-7486094,6,6,00:01:32,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-internet/libertad-financiera-7463944,6,4,00:00:59,0,0.00%,33.33%,$0.00
elclasificado.com/phoenix/empleo-vendedores?pg=3,6,4,00:00:16,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/empleo-vendedores/se-necesita-gerente-de-ventas-8598278,6,6,00:01:08,1,100.00%,33.33%,$0.00
elclasificado.com/phoenix/fotos-video-fiestas/fotografo-en-phoenix-economico-8535655,6,5,00:02:29,0,0.00%,33.33%,$0.00
elclasificado.com/phoenix/herreria-hogar,6,3,00:00:14,3,33.33%,50.00%,$0.00
elclasificado.com/phoenix/high-school-educacion,6,4,00:00:18,4,50.00%,66.67%,$0.00
elclasificado.com/phoenix/lanchas-botes,6,5,00:00:37,5,60.00%,66.67%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizacion-y-traslados-8773559,6,6,00:00:52,2,50.00%,50.00%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizaciones-y-traslados-mex-8814411,6,6,00:06:38,2,100.00%,50.00%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizamos-tu-auto-8752746,6,4,00:04:18,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico/nacionalizamos-tu-auto-tracto-8811301,6,6,00:02:54,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/lexus-autos/2003-lexus-sc430-7498542,6,6,00:01:02,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/limpieza-albercas-hogar,6,4,00:00:32,3,33.33%,50.00%,$0.00
elclasificado.com/phoenix/motos-bmw,6,3,00:02:31,2,0.00%,0.00%,$0.00
elclasificado.com/phoenix/motos-honda/importaciones-a-mexico-8707540,6,6,00:00:41,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/musica-banda/los-marcams-7676395,6,6,00:01:02,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/musica-tamborazo-norteno/cn-213-8803645,6,6,00:00:33,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/musica-tamborazo-norteno/codigo-norteno-213-8842130,6,5,00:00:35,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/gran-oportunidad-7511214,6,5,00:00:14,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/membresia-avon-gratis-8753495,6,6,00:00:40,0,0.00%,50.00%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/paneles-solares-7583407,6,6,00:00:47,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/tecnico-en-refrigeracion-7687366,6,6,00:02:09,1,0.00%,16.67%,$0.00
elclasificado.com/phoenix/perros-mascotas/beautiful-rottweiler-puppies-7476521,6,5,00:00:25,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/perros-mascotas/husky-para-su-aprobacion-7412490,6,5,00:00:50,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/perros-mascotas/los-cachorros-maltes-extra-dim-7476667,6,5,00:00:36,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/perros-huskies-siberianos-8599907,6,5,00:01:17,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/quality-english-bulldog-puppie-8403407,6,6,00:00:28,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/perros-mascotas/t-cup-yorkies-for-adoption-8328268,6,4,00:00:23,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/rentas-apartamentos?pg=6,6,2,00:00:38,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/rentas-roommates,6,5,00:00:19,3,66.67%,66.67%,$0.00
elclasificado.com/phoenix/salones-fiestas/bodas-en-phoenix-8484885,6,6,00:00:26,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/search-results?categoryId=7,6,5,00:01:44,0,0.00%,50.00%,$0.00
elclasificado.com/phoenix/servicio-internet/internet-y-cable-de-tv-8791747,6,2,00:01:30,1,0.00%,16.67%,$0.00
elclasificado.com/phoenix/servicios-generales,6,5,00:00:23,0,0.00%,33.33%,$0.00
elclasificado.com/phoenix/trabajo-independientes?pg=3,6,4,00:01:33,1,0.00%,0.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/se-necesita-manager-8617428,6,6,00:00:58,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/venta-servicios-telefonos,6,5,00:00:15,1,0.00%,16.67%,$0.00
elclasificado.com/phoenix/venta-terrenos/vendo-granja-en-chihuahua-mex-7647315,6,6,00:01:47,1,100.00%,33.33%,$0.00
elclasificado.com/phoenix/acura-autos-autodealer/2012-acura-tl-8389853,5,3,00:00:18,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/auto-junk-gruas,5,5,00:00:00,5,100.00%,100.00%,$0.00
elclasificado.com/phoenix/autos-chevrolet-autodealer/2012-chevrolet-camaro-7579310,5,5,00:00:40,0,0.00%,20.00%,$0.00
elclasificado.com/phoenix/autos-dodge/importaciones-a-mexico-7628823,5,5,00:00:39,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-ford/1997-expedition-4x4-new-trans-8836340,5,5,00:00:30,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-honda-autodealer/honda-crv-1997-8358404,5,5,00:00:29,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/autos-mazda-autodealer/2013-mazda-mazda3-8388847,5,5,00:00:17,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-toyota-autodealer/2008-toyota-corolla-8387515,5,5,00:00:31,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/bmw-autos-autodealer/2008-bmw-5-series-8539295,5,5,00:00:14,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/busco-empleo/armar-y-desarmar-trailas-8429982,5,5,00:00:22,2,100.00%,40.00%,$0.00
elclasificado.com/phoenix/busco-empleo/busco-trabajo-de-soldador-8772094,5,4,00:00:34,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/busco-empleo/el-negocio-del-futuro-8837224,5,5,00:00:29,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/car-wash,5,4,00:02:30,4,75.00%,80.00%,$0.00
elclasificado.com/phoenix/clases-income-tax,5,3,00:00:17,3,66.67%,40.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/40-surtido-perfumes-paquete-7367919,5,5,00:00:49,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/bolsos-al-mayoreo-envios-grati-8778059,5,5,00:00:29,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/ha-011-butterfly-hair-clip-8788863,5,5,00:00:08,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/hermosos-collares-al-mayoreo-8769694,5,5,00:00:57,1,0.00%,20.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/perfumes-de-dama-y-caballeros-8778037,5,5,00:02:07,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/solo-mayoreo-6-bras-x-7-99-7257898,5,5,00:04:22,2,100.00%,80.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/chamarra-original-hugo-b-10-7606070,5,5,00:00:47,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/jordan-flight-women-5-1-2-8838196,5,5,00:00:20,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/maniki-ropa-linda-maniki-8695395,5,4,00:01:02,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/winter-leggins-mayoreo-8695592,5,5,00:00:46,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-tienda-segunda-mano/nuevo-blackberry-z30-8356450,5,4,00:00:16,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/decoraciones-fiestas/manteleria-por-mayoreo-8391557,5,5,00:00:19,0,0.00%,40.00%,$0.00
elclasificado.com/phoenix/empleo-actores-musicos,5,4,00:05:24,3,66.67%,60.00%,$0.00
elclasificado.com/phoenix/empleo-choferes-troqueros/attencion-duenos-de-operadores-7411525,5,5,00:00:26,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-electricistas/exodo-electric-8721684,5,5,00:00:53,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-vendedores/compania-solar-8740291,5,3,00:00:39,1,0.00%,0.00%,$0.00
elclasificado.com/phoenix/fotos-video-fiestas/quinceaneras-bodas-8471930,5,3,00:02:44,0,0.00%,20.00%,$0.00
elclasificado.com/phoenix/jumpers-fiestas/canopies-for-sale-8548805,5,4,00:01:18,0,0.00%,20.00%,$0.00
elclasificado.com/phoenix/jumpers-fiestas/venta-de-jumpers-7408012,5,5,00:00:37,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/legalizacion-autos-mexico/traslados-y-legalizaciones-8781505,5,5,00:01:34,0,0.00%,20.00%,$0.00
elclasificado.com/phoenix/music-studio,5,3,00:01:41,3,33.33%,60.00%,$0.00
elclasificado.com/phoenix/musica-mariachi,5,3,00:00:11,1,0.00%,20.00%,$0.00
elclasificado.com/phoenix/musica-mariachi?exp=true,5,3,00:00:36,3,66.67%,60.00%,$0.00
elclasificado.com/phoenix/partes-interiores-autos,5,3,00:03:04,3,33.33%,40.00%,$0.00
elclasificado.com/phoenix/peinados-maquillaje-fiestas/bodas-y-quince-7619736,5,4,00:04:36,0,0.00%,40.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/adorables-cachorros-chow-chow-8732230,5,5,00:01:40,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/bulldog-ingles-cachorros-7561750,5,4,00:00:20,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/healthy-golden-retriever-pups-7539407,5,5,00:00:35,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/husky-siberiano-por-adopcion-8453817,5,4,00:04:15,2,50.00%,40.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/michelhoover-gmail-com-8477451,5,5,00:00:45,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/siberian-husky-de-ojos-azules-8715009,5,5,00:00:18,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/tiny-toy-maltese-puppy-8320730,5,4,00:00:16,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/podiatra,5,2,00:01:40,2,50.00%,40.00%,$0.00
elclasificado.com/phoenix/rentas-apartamentos?exp=true,5,3,00:05:04,2,50.00%,40.00%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/elan-at-desert-ridge-now-ope-8873541,5,5,00:00:25,0,0.00%,20.00%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/off-broadway-apartments-8808550,5,5,00:00:38,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/welcome-to-your-2-bed-apt-home-7570491,5,4,00:00:57,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/willow-springs-8808548,5,5,00:00:55,0,0.00%,20.00%,$0.00
elclasificado.com/phoenix/search-results?categoryId=25,5,2,00:00:17,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/servicios-generales/desert-mountain-landscaping-8819337,5,3,00:03:03,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/tiempo-libre,5,5,00:00:05,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/tiendas-de-mascotas,5,5,00:00:47,5,80.00%,80.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes?exp=true,5,2,00:00:22,2,0.00%,40.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/compania-multinacional-8537122,5,4,00:00:34,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/emprendedores-8744646,5,4,00:00:14,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/oportunidad-de-negocio-8734412,5,5,00:00:47,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/paneles-solares-8839532,5,5,00:00:25,1,100.00%,20.00%,$0.00
elclasificado.com/phoenix/trabajo-independientes/trabajo-100-en-casa-8792086,5,5,00:01:39,1,0.00%,20.00%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes/envio-autos-a-centroamerica-7325429,5,5,00:00:11,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/venta-casas-moviles?exp=true,5,2,00:01:01,2,50.00%,40.00%,$0.00
elclasificado.com/phoenix/venta-garaje/clothes-motorcycle-shoes-more-8150139,5,5,00:00:42,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/venta-garaje/se-venden-8701286,5,5,00:00:20,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/abogados-casos-criminales/fennemore-craig-attorneys-6193777,4,4,00:02:15,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/abogados-casos-criminales/zavala-law-offices-6193783,4,4,00:11:09,1,100.00%,50.00%,$0.00
elclasificado.com/phoenix/accesorios-autos/maxima-potencia-para-autos-gm-8526300,4,3,00:01:23,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/accesorios-fiestas,4,3,00:00:34,3,66.67%,75.00%,$0.00
elclasificado.com/phoenix/acupuntura-salud,4,3,00:00:51,3,66.67%,75.00%,$0.00
elclasificado.com/phoenix/adopcion-mascotas/chihuahua-teacup-7345382,4,3,00:00:24,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-chevrolet-autodealer/2006-chevrolet-tahoe-8539296,4,4,00:01:39,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/autos-chevrolet-autodealer/2010-chevrolet-camaro-8389798,4,3,00:01:34,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/autos-chevrolet-autodealer/2010-chevrolet-camaro-8539303,4,4,00:00:35,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-dodge-autodealer/2008-dodge-magnum-8539282,4,4,00:00:44,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-dodge-autodealer/2010-dodge-charger-8539304,4,3,00:00:47,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-nissan,4,3,00:00:38,2,50.00%,50.00%,$0.00
elclasificado.com/phoenix/autos-toyota/,4,2,00:00:33,2,0.00%,25.00%,$0.00
elclasificado.com/phoenix/belleza-cirugia-laser,4,4,00:00:00,4,100.00%,100.00%,$0.00
elclasificado.com/phoenix/belleza-cirugia-plastica/reduce-pared-vaginal-s-cirugia-7356627,4,3,00:02:27,3,66.67%,75.00%,$0.00
elclasificado.com/phoenix/clases-internet,4,3,00:02:06,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-colchones?exp=true,4,2,00:00:15,1,100.00%,50.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo?exp=true,4,2,00:01:29,1,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/blusas-de-dama-por-mayoreo-6704553,4,4,00:04:49,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/brasier-por-mayoreo-6-x-7-99-8812889,4,4,00:00:15,0,0.00%,50.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/collares-al-mayoreo-8760845,4,3,00:00:35,2,50.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/flaped-zipper-fashion-purse-8784291,4,4,00:01:00,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/playeras-para-caballero-fy-8778078,4,4,00:00:25,1,100.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo/ropa-con-descuento-por-mayoreo-8721676,4,3,00:02:45,1,0.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/baratisima-ropa-x-mayoreo-7323799,4,2,00:00:28,1,0.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/camisas-mayareo-envio-gratis-7506120,4,4,00:00:56,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/lindos-levanta-pompis-8413255,4,3,00:00:22,1,100.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/ropa-por-mayoreo-8805068,4,4,00:02:59,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/shorts-cortos-con-estampados-8834796,4,4,00:00:00,1,100.00%,100.00%,$0.00
elclasificado.com/phoenix/construccion-hogar/haro-s-construction-7468595,4,2,00:00:24,0,0.00%,25.00%,$0.00
elclasificado.com/phoenix/construccion-hogar/tile-painting-drywall-7442839,4,2,00:02:31,1,0.00%,50.00%,$0.00
elclasificado.com/phoenix/cuidado-ancianos/busco-trabajo-7417618,4,3,00:01:48,0,0.00%,0.00%,$0.00
