Page,Pageviews,Uniques
elclasificado.com/phoenix/clases-ingles/esl-en-linea-gratis-7329296,3,2
elclasificado.com/phoenix/clases-masaje/qa-testing-training-7391738,3,2
elclasificado.com/phoenix/community-colleges-educacion,3,2
elclasificado.com/phoenix/compra-venta-liquidaciones/solo-mayoreo-6-bras-x-7-99-7257914,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/al-por-mayor-jeans-de-hombre-8721611,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/black-friday-sale-on-entire-8800560,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/calsetas-calientitas-al-mayore-8769714,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/chamaras-al-mayoreo-8778064,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/jeans-levantacolita-10-7247446,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/joyeria-de-fantasia-de-mayoreo-8721689,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/leggings-lana-8778220,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/maniki-ropa-de-moda-mayoreo-8822793,3,3
elclasificado.com/phoenix/compra-venta-mayoreo/mayoreo-jeans-levantacola-7247431,3,2
elclasificado.com/phoenix/compra-venta-mercancia/antenas-supertenna-8376589,3,3
elclasificado.com/phoenix/compra-venta-muebles-patio/fire-pit-table-sale-8397514,3,2
elclasificado.com/phoenix/compra-venta-negocios/gana-dinero-desde-el-hogar-7639769,3,3
elclasificado.com/phoenix/compra-venta-ropa/bras-6-x-7-99-solo-mayoreo-8540968,3,3
elclasificado.com/phoenix/consejos-espirituales-botanicas,3,3
elclasificado.com/phoenix/cuidado-ancianos/empleo-cuidado-de-ancianos-8616577,3,3
elclasificado.com/phoenix/decoraciones-fiestas/manteleria-por-mayoreo-8743732,3,3
elclasificado.com/phoenix/decoraciones-fiestas/peluches-englobados-8835882,3,3
elclasificado.com/phoenix/diseno-web/paginas-web-y-logos-7582004,3,3
elclasificado.com/phoenix/diseno-web/paginasweb-seo-diseno-grafico-7629618,3,2
elclasificado.com/phoenix/empleo-bodegas-warehouse/busco-empleo-urjente-7449053,3,3
elclasificado.com/phoenix/empleo-computacion/sea-emprendedor-no-empleado-8817591,3,3
elclasificado.com/phoenix/empleo-domestico/fr-office-carpe-cleaning-7340582,3,2
elclasificado.com/phoenix/empleo-enfermeria,3,3
elclasificado.com/phoenix/empleo-internet/crowdsourcing-english-speaker-8596658,3,3
elclasificado.com/phoenix/empleo-telemercadeo/gana-dinero-100-en-casa-8792103,3,3
elclasificado.com/phoenix/empleo-vendedores/decearias-trabajar-desde-casa-8782742,3,2
elclasificado.com/phoenix/empleo-vendedores/epiq-ventaja-de-desregulacion-8834442,3,3
elclasificado.com/phoenix/entretenimiento-fiestas,3,3
elclasificado.com/phoenix/eventos-musicales/disney-on-ice-8719489,3,3
elclasificado.com/phoenix/funerales,3,2
elclasificado.com/phoenix/ganado-animales,3,2
elclasificado.com/phoenix/garage-doors-hogar/jg-garage-doors-llc-8358944,3,2
elclasificado.com/phoenix/gerentes-supervisores-empleo/gerente-de-ventas-7024246,3,3
elclasificado.com/phoenix/hombre-hombre-personales,3,2
elclasificado.com/phoenix/hombre-mujer-personales,3,3
elclasificado.com/phoenix/infinity-autos-autodealer/2006-infiniti-g35-8539299,3,3
elclasificado.com/phoenix/investigadores/investigaciones-7553678,3,3
elclasificado.com/phoenix/jumpers-fiestas/renta-de-brincas-brincas-7346203,3,3
elclasificado.com/phoenix/jumpers-fiestas/se-venden-toros-mecanicos-7353296,3,3
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizaciones-y-envios-a-mex-8755773,3,3
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizaciones-y-traslados-8561606,3,3
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizaciones-y-traslados-8585360,3,3
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizaciones-y-traslados-8622223,3,3
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizamos-tu-autooooo-8766568,3,3
elclasificado.com/phoenix/lexus-autos-autodealer/2011-lexus-rx-8388845,3,3
elclasificado.com/phoenix/motorhome-rv-autodealer,3,3
elclasificado.com/phoenix/motos-ducati?exp=true,3,1
elclasificado.com/phoenix/musica-banda/los-efectivos-del-norte-7543495,3,3
elclasificado.com/phoenix/musica-dj/dj-para-quinceaneras-y-bodas-7436083,3,3
elclasificado.com/phoenix/musica-mariachi/cantante-y-guitarrista-8697337,3,2
elclasificado.com/phoenix/parques-atraccion,3,3
elclasificado.com/phoenix/perros-mascotas?exp=true,3,3
elclasificado.com/phoenix/perros-mascotas/basset-bound-4-meses-7632416,3,2
elclasificado.com/phoenix/perros-mascotas/beautiful-purebred-pomeranian-8839673,3,3
elclasificado.com/phoenix/perros-mascotas/cachorros-husky-de-navidad-8770067,3,3
elclasificado.com/phoenix/perros-mascotas/chihuahua-teacup-7330927,3,3
elclasificado.com/phoenix/perros-mascotas/maltes-cachorros-disponibles-7317160,3,2
elclasificado.com/phoenix/perros-mascotas/regalo-bebe-husky-siberiano-8588563,3,3
elclasificado.com/phoenix/perros-mascotas/siberian-husky-puppy-for-sale-8497189,3,2
elclasificado.com/phoenix/prestamos-casas,3,1
elclasificado.com/phoenix/prestamos-personales/prestamo-de-dinero-rapida-8829137,3,2
elclasificado.com/phoenix/prestamos-personales/prestamo-financiero-nece-8580573,3,2
elclasificado.com/phoenix/prestamos-personales/prestamo-gratuito-8697908,3,3
elclasificado.com/phoenix/prestamos-personales/t-esta-es-una-organizacion-cr-8781222,3,3
elclasificado.com/phoenix/prestamos-personales/tomar-credito-8492998,3,2
elclasificado.com/phoenix/productos-belleza?exp=true,3,2
elclasificado.com/phoenix/productos-naturales/nutrietes-para-tu-salud-7410087,3,3
elclasificado.com/phoenix/propiedades,3,3
elclasificado.com/phoenix/rentas-apartamentos/amber-pointe-apartments-8873874,3,2
elclasificado.com/phoenix/rentas-apartamentos/cactus-42-brand-new-8874074,3,3
elclasificado.com/phoenix/rentas-apartamentos/camelback-courtyard-8869330,3,3
elclasificado.com/phoenix/rentas-apartamentos/el-memorial-de-don-frew-7633519,3,2
elclasificado.com/phoenix/rentas-apartamentos/jefferson-at-one-scottsdale-8394716,3,3
elclasificado.com/phoenix/rentas-apartamentos/liv-ahwatukee-now-open-8874253,3,3
elclasificado.com/phoenix/rentas-apartamentos/sendero-ridge-7429320,3,2
elclasificado.com/phoenix/rentas-apartamentos/shadow-ridge-8449665,3,3
elclasificado.com/phoenix/rentas-apartamentos/warren-house-north-8869454,3,3
elclasificado.com/phoenix/reparaciones-hogar/tv-repair-8803390,3,3
elclasificado.com/phoenix/restaurantes,3,1
elclasificado.com/phoenix/salones-fiestas/posadas-en-phoenix-8484675,3,3
elclasificado.com/phoenix/salones-fiestas/salon-de-fiestas-en-tempe-8446878,3,3
elclasificado.com/phoenix/satelite-cable/cable-internet-34-99-7477012,3,2
elclasificado.com/phoenix/satelite-cable/directv-14-95-dish-19-95-7379427,3,3
elclasificado.com/phoenix/search-results?categoryId=21,3,2
elclasificado.com/phoenix/seguros-auto/seguros-comerciales-6228622,3,2
elclasificado.com/phoenix/seguros-dental/limpieza-profunda-60-00-en-az-7458401,3,2
elclasificado.com/phoenix/servicios-centros-reciclaje,3,3
elclasificado.com/phoenix/servicios-funerales,3,1
elclasificado.com/phoenix/servicios-letreros,3,1
elclasificado.com/phoenix/servicios-letreros/banners-impresion-8344510,3,3
elclasificado.com/phoenix/servicios-limpieza-hogar/power-carpet-cleaning-services-8374408,3,3
elclasificado.com/phoenix/servicios-limpieza-hogar/tile-grout-carpet-cleaning-7557057,3,3
elclasificado.com/phoenix/techos-hogar/jcroofing-8466238,3,2
elclasificado.com/phoenix/trabajo-independientes/ganancias-inmediatas-8617617,3,3
elclasificado.com/phoenix/trabajo-independientes/independientes-8820956,3,3
elclasificado.com/phoenix/trabajo-independientes/personas-para-trabajar-8878723,3,3
elclasificado.com/phoenix/trabajo-independientes/trabajo-en-casa-100-8618897,3,3
elclasificado.com/phoenix/transporte-transporte/epla-limousine-needs-drivers-8825640,3,2
elclasificado.com/phoenix/venta-casas/casa-en-venta-en-mexico-7629125,3,3
elclasificado.com/phoenix/veterinarios-mascotas/tu-mascota-te-lo-agradecera-5615408,3,3
elclasificado.com/errors/generic?aspxerrorpath=/phoenix,2,1
elclasificado.com/errors/generic?aspxerrorpath=/phoenix/oportunidad-empleo,2,1
elclasificado.com/errors/generic?aspxerrorpath=/phoenix/rentas,2,1
elclasificado.com/phoenix/abogado-social-security/abogados-expertos-6228616,2,2
elclasificado.com/Phoenix/autos,2,2
elclasificado.com/phoenix/autos-ford-autodealer/2007-ford-explorer-8388849,2,2
elclasificado.com/phoenix/autos-ford-autodealer/2014-ford-focus-st-8388850,2,2
elclasificado.com/phoenix/autos-honda-autodealer/2010-honda-odyssey-8388852,2,2
elclasificado.com/phoenix/autos-honda-autodealer/2011-honda-pilot-8539300,2,2
elclasificado.com/phoenix/autos-honda?exp=true,2,2
elclasificado.com/phoenix/belleza-bajar-peso/adelgaza-naturalmente-7681465,2,2
elclasificado.com/phoenix/belleza-fotos-glamour,2,1
elclasificado.com/phoenix/caballos-mascotas?exp=true,2,2
elclasificado.com/phoenix/cambio-aceite-auto,2,2
elclasificado.com/phoenix/casas-mexico/vendo-casa-duplex-tamazula-jal-8442844,2,2
elclasificado.com/phoenix/cerrajeros-general?exp=true,2,2
elclasificado.com/phoenix/clases-baile/vals-y-baile-sorpresa-quince-8444108,2,2
elclasificado.com/phoenix/clases-biblia,2,1
elclasificado.com/phoenix/clases-cursos/curso-de-entrenador-personal-7451738,2,2
elclasificado.com/phoenix/clases-notary-public,2,2
elclasificado.com/phoenix/compra-venta-accesorios/designer-handbags-8804035,2,1
elclasificado.com/phoenix/compra-venta-articulos-deportivos/futbol-soccer-por-mayoreo-7651123,2,2
elclasificado.com/phoenix/compra-venta-electrodomesticos?exp=true,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/bolsos-de-moda-por-mayor-8615447,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/carteras-con-brillo-al-mayoreo-8778083,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/envios-gratis-a-todo-usa-8778069,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/flower-chain-side-purse-8788875,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/gorritos-para-ninos-y-ninas-8778022,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/jeans-capri-para-dama-8760858,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/jeans-levanta-colas-de-colores-8760140,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/linda-ropa-al-mayoreo-8778073,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/lindos-jeanes-colombianos-8840910,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/sandalias-de-dama-por-mayoreo-6704571,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/surte-tu-tienda-con-fy-8769695,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/venta-de-botas-al-mayoreo-8760832,2,2
elclasificado.com/phoenix/compra-venta-mayoreo/vestidos-de-dama-por-mayoreo-6704558,2,2
elclasificado.com/phoenix/compra-venta-mercancia/exelentes-precios-en-ropa-8578669,2,2
elclasificado.com/phoenix/compra-venta-mercancia/toros-mecanicos-bouncy4kids-7417557,2,2
elclasificado.com/phoenix/compra-venta-muebles-casa/muebleria-8876946,2,2
elclasificado.com/phoenix/compra-venta-muebles-ninos?exp=true,2,2
elclasificado.com/phoenix/compra-venta-negocios/inicie-299-negocio-belleza-8522977,2,2
elclasificado.com/phoenix/compra-venta-ropa/camisetas-playeras-personaliza-8559153,2,2
elclasificado.com/phoenix/compra-venta-ropa/gean-especial-40-blusas-x-120-7477925,2,2
elclasificado.com/phoenix/compra-venta-ropa/manikifashion-ropa-mayoreo-8584961,2,2
elclasificado.com/phoenix/compra-venta-ropa/ropa-x-mayoreo-7441985,2,1
elclasificado.com/phoenix/compra-venta-ropa/ropa-x-mayoreo-7641934,2,2
elclasificado.com/phoenix/compra-venta-ropa/sudaderas-por-mayoreo-8548111,2,2
elclasificado.com/phoenix/compra-venta-ropa/women-jordan-flight-51-2-new-8857198,2,2
elclasificado.com/phoenix/compra-venta-tiendas-descuento/ahorra-tiempo-y-dinero-8586545,2,1
elclasificado.com/phoenix/compra-venta-tiendas-ropa?exp=true,2,2
elclasificado.com/phoenix/construccion-hogar/remodelaciones-7502340,2,2
elclasificado.com/phoenix/decoraciones-fiestas/live-your-dream-wedding-in-pr-8357857,2,2
elclasificado.com/phoenix/drums-instruments,2,2
elclasificado.com/phoenix/empleo-barbero-cosmetologa/se-solicita-peinadora-y-maquil-8579058,2,2
elclasificado.com/phoenix/empleo-domestico/housecleaning-7309357,2,1
elclasificado.com/phoenix/empleo-internet/como-ganar-mas-de-5000-al-mes-7585963,2,2
elclasificado.com/phoenix/empleo-paralegal,2,1
elclasificado.com/phoenix/empleo-vendedores/cansado-a-de-falsas-promesas-8850028,2,2
elclasificado.com/phoenix/empleo-vendedores/director-de-ventas-7014308,2,2
elclasificado.com/phoenix/empleo-vendedores/gana-1850-usd-por-internet-8741043,2,2
elclasificado.com/phoenix/empleo-vendedores/trabaja-desde-casa-8720337,2,1
elclasificado.com/phoenix/empleo-vendedores/trabajo-desde-un-blog-8541743,2,2
elclasificado.com/phoenix/empleo-vendedores/vendedores-8629534,2,2
elclasificado.com/phoenix/escuelas-trafico,2,2
elclasificado.com/phoenix/eventos-musicales,2,2
elclasificado.com/phoenix/fotos-video-fiestas/bodas-quinceaneras-foto-8484838,2,2
elclasificado.com/phoenix/fotos-video-fiestas/fotografia-8517113,2,2
elclasificado.com/phoenix/gerentes-supervisores-empleo/trabajo-online-s-experiencia-7453081,2,2
elclasificado.com/phoenix/gmc-autos/,2,2
elclasificado.com/phoenix/infinity-autos-autodealer/2014-infiniti-q50-8539280,2,2
elclasificado.com/phoenix/inversiones-negocios/listo-para-tomar-las-rienda-7542060,2,2
elclasificado.com/phoenix/jumpers-fiestas/junior-s-jump-s-7550400,2,2
elclasificado.com/phoenix/legalizacion-autos-mexico/envios-a-mexico-8719082,2,1
elclasificado.com/phoenix/legalizacion-autos-mexico/importacion-de-autos-a-mexico-8524504,2,2
elclasificado.com/phoenix/legalizacion-autos-mexico/legalizacion-de-autos-7642405,2,2
elclasificado.com/phoenix/legalizacion-autos-mexico/trasladamos-tu-auto-a-mexico-8707600,2,2
elclasificado.com/phoenix/maquillaje-permanente/libro-electronico-8546533,2,1
elclasificado.com/phoenix/mufflers-radiadores-autos,2,1
elclasificado.com/phoenix/music-studio?exp=true,2,1
elclasificado.com/phoenix/musica-tamborazo-norteno/grupo-codigo-n-213-8610344,2,2
elclasificado.com/phoenix/oportunidad-empleo/busco-trabajo-de-soldador-8607578,2,2
elclasificado.com/phoenix/paralegales,2,1
elclasificado.com/phoenix/perros-mascotas/cachorros-bulldog-ing,2,1
elclasificado.com/phoenix/perros-mascotas/christmas-gifts-302-417-1755-8852087,2,2
elclasificado.com/phoenix/perros-mascotas/husky-en-venta-8558950,2,2
elclasificado.com/phoenix/perros-mascotas/rottweiler-puppies-7474872,2,2
elclasificado.com/phoenix/perros-mascotas/siberian-husky-de-ojos-azules-8591444,2,1
elclasificado.com/phoenix/perros-mascotas/top-quality-english-bulldog-7348816,2,2
elclasificado.com/phoenix/plomeria-hogar/tecnico-para-trabajar-8730580,2,2
elclasificado.com/phoenix/prestamos-casas/finanzas-2-8473423,2,1
elclasificado.com/phoenix/prestamos-negocios/credito-en-linea-8383531,2,2
elclasificado.com/phoenix/prestamos-negocios/demende-un-prestamo-urgente-7417802,2,2
elclasificado.com/phoenix/prestamos-personales/individuos-de-prestamos-8515927,2,2
elclasificado.com/phoenix/prestamos-personales/su-dinero-en-un-dia-en-phoenix-8853455,2,2
elclasificado.com/phoenix/productos-naturales/liberador-de-celulas-madre-8335482,2,1
elclasificado.com/phoenix/professional-sound-equipment,2,2
elclasificado.com/phoenix/recuerdos-fiesta/servilletas-bordadas-recuerdos-7099507,2,2
elclasificado.com/phoenix/renta-autos-vacaciones/alquiler-de-autos-en-ecuador-8326986,2,1
elclasificado.com/phoenix/rentas-apartamentos/38-hundred-luxury-apartment-ho-8846536,2,2
elclasificado.com/phoenix/rentas-apartamentos/adobe-ridge-8155845,2,2
elclasificado.com/phoenix/rentas-apartamentos/broadstone-scottsdale-horizon-8808547,2,2
elclasificado.com/phoenix/rentas-apartamentos/canyon-crossroads-8846517,2,2
elclasificado.com/phoenix/rentas-apartamentos/casa-blanca-8882104,2,2
elclasificado.com/phoenix/rentas-apartamentos/courtyard-at-encanto-8861845,2,1
elclasificado.com/phoenix/rentas-apartamentos/desert-wind-apartments-8861838,2,2
elclasificado.com/phoenix/rentas-apartamentos/emerald-apartments-8449664,2,2
elclasificado.com/phoenix/rentas-apartamentos/gateway-on-gilbert-8441570,2,2
elclasificado.com/phoenix/rentas-apartamentos/glen-brae-7368151,2,1
elclasificado.com/phoenix/rentas-apartamentos/juniper-meadows-8869031,2,1
elclasificado.com/phoenix/rentas-apartamentos/liv-north-scottsdale-7536862,2,2
elclasificado.com/phoenix/rentas-apartamentos/liv-northgate-now-open-8873967,2,1
elclasificado.com/phoenix/rentas-apartamentos/marabrisa-condominuims-8870904,2,1
elclasificado.com/phoenix/rentas-apartamentos/paradise-foothills-7694216,2,2
elclasificado.com/phoenix/rentas-apartamentos/pinefield-apartment-homes-8870616,2,2
elclasificado.com/phoenix/rentas-apartamentos/prestamos-rapidos-8521828,2,2
elclasificado.com/phoenix/rentas-apartamentos/west-town-court-8870052,2,2
elclasificado.com/phoenix/reparacion-camiones-autos/laptop-para-diagnostico-diesel-8701177,2,2
elclasificado.com/phoenix/reptiles-mascotas,2,1
elclasificado.com/phoenix/salones-fiestas/bodas-salon-de-fiestas-tempe-8448206,2,2
elclasificado.com/phoenix/salones-fiestas/salon-de-fiestas-en-phoenix-8489121,2,2
elclasificado.com/phoenix/satelite-cable/aqui-todos-califican-8748537,2,2
elclasificado.com/phoenix/satelite-cable/directv-mas-por-29-99-8613376,2,1
elclasificado.com/phoenix/satelite-cable/todos-califican-8811823,2,2
elclasificado.com/phoenix/satelite-cable/todos-tus-canales-favoritos-8761273,2,2
elclasificado.com/phoenix/search-results?categoryId=12,2,1
elclasificado.com/phoenix/search-results?categoryId=15,2,2
elclasificado.com/phoenix/search-results?categoryId=37,2,2
elclasificado.com/phoenix/seguros,2,2
elclasificado.com/phoenix/seguros-auto/la-maxima-cobertura-6228621,2,1
elclasificado.com/phoenix/servicios-fiestas,2,2
elclasificado.com/phoenix/servicios-generales/importacion-autos-mex-8385315,2,2
elclasificado.com/phoenix/servicios-generales/soy-ninera-7573923,2,2
elclasificado.com/phoenix/servicios-inmigracion,2,2
elclasificado.com/phoenix/servicios-inmigracion/defensa-de-deportacion-7396738,2,2
elclasificado.com/phoenix/servicios-letreros/imprena-en-phoenix-7587037,2,2
elclasificado.com/phoenix/servicios-miscelaneos,2,2
elclasificado.com/phoenix/servicios-religiosos-fiestas/bodas-a-domicilio-8496099,2,2
elclasificado.com/phoenix/servicios-religiosos-fiestas/capilla-de-boda-o-al-domicilio-8584918,2,2
elclasificado.com/phoenix/sistemas-seguridad,2,2
elclasificado.com/phoenix/suspensiones-autos,2,2
elclasificado.com/phoenix/trabajo-independientes/la-bala-magica-en-internet-7220669,2,2
elclasificado.com/phoenix/trabajo-independientes/morinda-segunda-ola-8795926,2,2
elclasificado.com/phoenix/trabajo-independientes/personal-para-trabajo-8492944,2,2
elclasificado.com/phoenix/trabajo-independientes/personas-para-trabajar-8529628,2,2
elclasificado.com/phoenix/trabajo-independientes/profesionales-8351907,2,2
elclasificado.com/phoenix/trabajo-independientes/space-voip-smartphone-pc-8790997,2,2
elclasificado.com/phoenix/trabajo-independientes/telemercadeo-en-linea-8385765,2,2
elclasificado.com/phoenix/trabajo-independientes/want-to-take-back-your-life-8802278,2,2
elclasificado.com/phoenix/tractores-agricultura/asesores-aduanales-y-servicios-8781928,2,2
elclasificado.com/phoenix/transporte-shuttle-taxi,2,1
elclasificado.com/phoenix/transporte-transporte/nacionalizacion-sin-titulo-7464917,2,2
elclasificado.com/phoenix/venta-casas/cabanas-de-venta-en-mexico-7611826,2,2
elclasificado.com/phoenix/venta-celulares/venta-apple-iphone-6-plus-500-8623792,2,1
elclasificado.com/phoenix/venta-computadoras/reparacion-de-computadoras-8811181,2,1
elclasificado.com/phoenix/venta-garaje/pools-services-8572899,2,2
elclasificado.com/phoenix/ventas-comerciales,2,2
elclasificado.com/phoenix/vestidos-tux-fiestas?exp=true,2,2
elclasificado.com/phoenix/veterinarios-mascotas/servicio-profesional-5615514,2,2
elclasificado.com/phoenix/veterinarios-mascotas/veterinario-capacitado-5615469,2,2
elclasificado.com/phoenix/vidrios-autos?exp=true,2,1
elclasificado.com/errors/generic?aspxerrorpath=/phoenix/solo-adultos/soltero-y-sin-compromiso-8798589,1,1
elclasificado.com/errors/notfound?aspxerrorpath=/phoenix/empleo-vendedores,1,1
elclasificado.com/errors/notfound?aspxerrorpath=/phoenix/search,1,1
"elclasificado.com/flashtalking/ftlocal.html?ifsrc=http://cdn.flashtalking.com/xre/101/1015951/871532/js/j-1015951-871532.js&ftx=&fty=&ftadz=&ftscw=&ft_custom=&ftOBA=1&ft_ifb=1&ft_domain=elclasificado.com&ft_referrer=http://elclasificado.com/phoenix/rentas&cachebuster=775322.8589426726&click=http://insight.adsrvr.org/track/clk?imp=3447d32a-5ddf-4c6d-bfba-d77eec2277dd&ag=h1gw7fv&crid=fzwkg49m&fq=1&td_s=elclasificado.com&rcats=&mcat=&mste=&mfld=3&mssi=&mfsi=ewil258&sv=google&uhow=60&agsa=0x449EB5C1&rgco=United States&rgre=Arizona&rgme=753&rgci=Surprise&dt=Mobile&osf=Android&os=Other&br=Safari&svpid=1&rlangs=es,en&mlang=&did=&dur=CiYKBzBrcTYxamIQ6hQiCwjh7uhLEgRub25lIgsI5u7oSxIEbm9uZRDqFA==&crrelr=&r=http://adclick.g.doubleclick.net/aclk?sa=l&ai=Cln6tcxF-VKzVIs-tkwKAsYCQBub-v7IEvpugjlfAjbcBEAEgAGDJ1suGxKPIF4IBF2NhLXB1Yi0zOTM3NTQwOTQ4NTQyMjUxoAHahvPoA8gBCeACAKgDAZgEAKoEwQFP0I-D1DGWWTzAT3kTaO9g1lRZfQFiwgya4VqnFx8q0Y6t3BLkZwcNtaFLsukluWj3h_QmyJ-CTwt8dSTZXzBl-XU9QhnEPeJDVgnp9mPjF3gfbUSJ3nCs1h4a3iPzJunCEo5maDCIAp0bEByEYKT-MPoW_2ntrW93hqPKsMwnQhk11YO8LZ2ycQ2RjFJnycaVnqNkpeurL-KKmuIgVl5Elg1hoU43QUYkYr66LAigkGnsABTQFICq5rpMUN4ibodk4AQBgAaD_fWI3-TNvpIBoAYh&num=1&sig=AOD64_1AchlyoZUukHJ6-sE1mMsmXddcTQ&client=ca-pub-3937540948542251&adurl=&ftcustom=&ftsection=&fttime=1417548148&ftcfid=1402561&ftguid=2450E5E5FA7394",1,1
"elclasificado.com/flashtalking/ftlocal.html?ifsrc=http://cdn.flashtalking.com/xre/101/1015951/871532/js/j-1015951-871532.js&ftx=&fty=&ftadz=&ftscw=&ft_custom=&ftOBA=1&ft_ifb=1&ft_domain=elclasificado.com&ft_referrer=http://elclasificado.com/phoenix/rentas&cachebuster=791454.1100617498&click=http://insight.adsrvr.org/track/clk?imp=de1cf596-aa63-407e-b934-e47475aa0dc3&ag=h1gw7fv&crid=fzwkg49m&fq=0&td_s=elclasificado.com&rcats=&mcat=&mste=&mfld=3&mssi=&mfsi=ewil258&sv=google&uhow=60&agsa=0x449EB5C1&rgco=United States&rgre=Arizona&rgme=753&rgci=Surprise&dt=Mobile&osf=Android&os=Other&br=Safari&svpid=1&rlangs=es,en&mlang=&did=&dur=CiYKBzBrcTYxamIQ6RQiCwjh7uhLEgRub25lIgsI5u7oSxIEbm9uZRDpFA==&crrelr=&r=http://adclick.g.doubleclick.net/aclk?sa=l&ai=CeTOxRxF-VP6iOqiklAK58IDYCub-v7IEvpugjlfAjbcBEAEgAGDJ1suGxKPIF4IBF2NhLXB1Yi0zOTM3NTQwOTQ4NTQyMjUxoAHahvPoA8gBCeACAKgDAZgEAKoEwQFP0Pk_YVxZUxnrBjDmk7heCDhrJrajLL471ogI60xFmuglIw0vpMZGuiMGsEd5QBE3TzFSubCqRv56Tkcs7X4fpuuFPI-aJOw7ZywAjul6M_6bg8DIreN-UP-bsuKF2aNBUcTwJP_xHpTmt9NYccPzTffpvD0UUNgVwl-0cwbPIEBzTiBsAUI3rgAeN7AR9iLTBPYzmoWejC2QgjF2cAumf9z27k94gRpdV4oWdfGfSsT6VecQ-wY2-CGIjaKiAMMN4AQBgAaD_fWI3-TNvpIBoAYh&num=1&sig=AOD64_0bSPnS473tQPTGO4AsKG4NGE9y5Q&client=ca-pub-3937540948542251&adurl=&ftcustom=&ftsection=&fttime=1417548104&ftcfid=1402560&ftguid=2450E5E5FA7394",1,1
"elclasificado.com/flashtalking/ftlocal.html?ifsrc=http://cdn.flashtalking.com/xre/101/1015951/879973/js/j-1015951-879973.js&ftx=&fty=&ftadz=&ftscw=&ft_custom=&ftOBA=1&ft_ifb=1&ft_domain=elclasificado.com&ft_referrer=http://elclasificado.com/phoenix/compra-venta-ropa/chamarras-por-mayoreo-8626391&cachebuster=675487.3443860561&click=http://insight.adsrvr.org/track/clk?imp=1b7f2f8a-9831-402c-ad47-fda7e4e06d69&ag=h1gw7fv&crid=fzwkg49m&fq=4&td_s=elclasificado.com&rcats=bhu,26o,w7n&mcat=&mste=&mfld=3&mssi=&mfsi=ewil258&sv=google&uhow=55&agsa=0x449EB5C1&rgco=United States&rgre=California&rgme=803&rgci=Downey&dt=Mobile&osf=Android&os=Other&br=Chrome&svpid=499&rlangs=es&mlang=&did=&dur=ChkKBzBrcTYxamIQ6AYiCwjh7uhLEgRub25lEOgG&crrelr=&r=http://adclick.g.doubleclick.net/aclk?sa=l&ai=CBFuuvtl9VO3_GcqSlALdn4H4Bub-v7IEvpugjlfAjbcBEAEgAGDJ3uiGyKOQGYIBF2NhLXB1Yi05Mzc1MTg5MjgzNTQ4MDM0oAHahvPoA8gBCeACAKgDAZgEAKoE5gFP0MC74LgqqskMiBiQMmpB6-JttStbs-UbddMDA7nZ29UPCrU5-flmyxtBhTw6MMSb7ZKlgRDG5paGp5ura0joJhr29hWKfepDCW9u0gm3Suau8UuDagRkkOnXUqlFXelRWu_TdtGVHZpNNex0MCnR0eHeltBIjeCid2Eh8ZPCi4_Xq_ueYmBcat1PFN9YBdwZG3_DvjaH9XCvB7Kxbzmq6754Q1gvRWmv4MzGSlw1bQrFp8m5IKRSCAsNfzr5IuC7lOdN4l19atjik3yjGa1SaiMTuvObb-Z83qNgXZ00nLzNmYWABuAEAYAGg_31iN_kzb6SAaAGIQ&num=1&sig=AOD64_2sVwIjQeSqgm7OuBeccVjqMbhruQ&client=ca-pub-9375189283548034&adurl=&ftcustom=&ftsection=&fttime=1417533888&ftcfid=1432548&ftguid=2508AECA1C230E",1,1
